,history_beta
PAYX,0.9689930472577785
PBI,1.1010195628762465
PCAR,1.1372603605115588
PCG,0.7372393851788777
PCH,1.1703643736072005
PEG,0.6522142657048888
PENN,1.341001445012449
PEP,0.5529735913949616
PFE,0.6776437210429034
PFG,1.5359122064398907
PG,0.5266495662586508
PGR,0.8127970942805136
PH,1.2215821372765696
PHM,1.3361874854320999
PKG,0.9201096426032123
PLD,1.1920406847521752
PLTR,2.065247760081798
PM,0.632549444141362
PNC,1.2153865077855022
PNR,1.0681184563190151
PNW,0.5908597218393506
PODD,1.0966328667900735
POOL,0.9301975985705335
PPG,1.006676175223836
PPL,0.6443818028611972
PRGO,0.7257772375368788
PRU,1.510222931986253
PSA,0.8099127419900126
PSX,1.0178642695080862
PTC,1.2466663898233314
PVH,1.2815509755158438
PWR,1.2528941495170305
PYPL,1.341680791699334
QCOM,1.2658107164230987
QRVO,1.4563973062357853
R,1.15124239715857
RCL,1.5826752948651535
REG,1.026837224682579
REGN,1.0119446775904724
RF,1.451427424086786
RHI,1.1065707069504183
RIG,1.350758783638942
RJF,1.3774491408433305
RL,1.0989810701685485
RMD,0.8481442443411702
ROK,1.1871599228961505
ROL,0.8067264445240624
ROP,0.9778949233885001
ROST,0.936871010737277
RRC,1.0925288690929271
RSG,0.6833582760092896
RTX,0.9492697266091342
RVTY,0.9790518481374985
SANM,1.529910383604508
SBAC,1.000546436487624
SBUX,1.0221646747287478
SCHW,1.3692342823842876
SCI,0.8510314544702073
SEDG,1.5010551020504768
SEE,0.9516325727833708
SHW,0.8532431898553552
SIG,1.2395349380216945
SJM,0.41631733533255505
SLB,1.1396463399826335
SLG,1.341266224614571
SLM,1.2400583909971774
SMCI,1.3098844710834612
SNA,0.9844980376616241
SNPS,1.0393656656236299
SNT,0.41186786765491645
SNV,1.4486924874351381
SO,0.4912377224534112
SPG,1.1589612916196461
SPGI,1.0400473723220887
SRCL,0.7772770314490024
SRE,0.6937635964594739
SSP,1.2234411737057103
STE,0.8196622495343426
STLD,1.4000265508750558
STT,1.4160722721584025
STX,1.1592428762743756
STZ,0.7371070754117542
SW,0.32089308021647134
SWK,1.1805232759918425
SWKS,1.5010168296785067
SYF,1.3943856890442468
SYK,0.8714546808407169
SYY,0.7808790301078031
T,0.693604236568636
TAP,0.6242815271934276
TDC,1.002831998516669
TDG,1.0800804709221843
TDY,1.0658024124559518
TECH,0.8222852476837561
TEL,1.1528369819797426
TER,1.5404399604420758
TEX,1.5680384031874677
TFC,1.2349895512324744
TFX,0.845928142672625
TGNA,0.9745082817907734
TGT,0.891161202211105
THC,1.1925945860726574
TJX,0.8879216393984397
TKR,1.276519832016478
TLAB,1.2356312543805221
TMO,0.8871003062284918
TMUS,0.8764946305208722
TPL,0.7508702308449603
TPR,1.317995405230957
TRGP,1.368892793517385
TRIP,1.235178492287877
TRMB,1.2270918957922161
TROW,1.4091660191661304
TRV,0.8935975410431952
TSCO,0.8343543033580285
TSLA,1.5369316551067658
TSN,0.7107448980074813
TT,1.1264895036442795
TTWO,0.9603011854765104
TXN,1.18078320355548
TXT,1.3493528518305113
TYL,0.8969983330991375
UA,1.360764945669644
UAA,1.3521236464700856
UAL,1.4867458747809497
UBER,1.346491937693225
UDR,0.9716940122317783
UHS,0.8380116896899028
UIS,1.4055372515501368
ULTA,1.0673503652127159
UNH,0.8196465408680745
UNM,1.306014149298809
UNP,0.9296330313698586
UPS,0.8003477103781043
URBN,1.1070463961610253
URI,1.4989459313884659
USB,1.147388522259637
V,1.0029124472334254
VFC,0.9948325358192011
VIAV,1.4210416514895372
VICI,0.9363202706194814
VLO,1.1443780814425355
VMC,1.035384953917483
VNO,1.1627878219195968
VNT,1.0516198899855258
VRSK,0.7750957899190941
VRSN,1.195391710939855
VRTX,1.018149036396811
VST,0.9699554954608093
VTR,1.0150760265649807
VTRS,0.8594257483480287
VZ,0.587944989152695
WAB,1.0943831777149908
WAT,0.9017289156317341
WBA,0.7605967443742871
WBD,1.0261877409573708
WDAY,1.2310989066930036
WDC,1.4067483869207862
WEC,0.4788203529285576
WELL,0.8643946155557021
WEN,0.861107518380619
WFC,1.2670094880565015
WHR,1.1762026372926209
WM,0.6608540020443052
WMB,1.2071497296974647
WMT,0.5679660698985944
WOR,1.364575767332331
WRB,0.757357897397398
WST,0.7952845395700929
WTW,0.7355377975608586
WU,0.8727089550806455
WY,1.188614524931706
WYNN,1.4340187648451346
X,1.5246855516201006
XEL,0.5451474947439092
XOM,0.844206140172011
XRAY,0.7956109684797292
XRX,1.1983994154851318
XYL,1.062886287488363
YUM,0.7877453426606624
ZBH,0.8106859878332435
ZBRA,1.122544140052192
ZION,1.3181724276083735
ZTS,0.9172576422225879
