,0
LUV,1.0273643414326439
LVS,1.1224019535022935
LW,0.7895767471618937
LYV,1.208759034212749
MA,1.1392506462669774
MAA,0.7854211560056413
MAR,1.089688132331205
MAS,1.0292224740368359
MCD,0.6639290266936013
MCHP,1.565225500597901
MCK,0.6600624263720041
MCO,1.166858627790032
MDLZ,0.6523628653775637
MET,1.1305037788836187
META,1.342804463828207
MGM,1.5668044286837888
MHK,1.240517136567382
MKC,0.5357956905354948
MKTX,0.7998895844305407
MLM,1.0527811109427314
MMC,0.7914350553947783
MMM,0.8226094068539911
MNST,0.7998338142430035
MO,0.5240389992506047
MOH,0.7983684562733127
MOS,1.162182069052893
MPC,1.179976287839605
MPWR,1.7557440561357343
MRK,0.5082110101571806
MS,1.253261645846441
MSCI,1.2028965336866144
