,mkt_beta,smb_beta,hml_beta
HUBB,1.0292533866055658,0.14303506495942003,0.39662271325642917
HUM,0.7251016407422899,-0.1698877668033878,0.18334067588997072
HWM,1.3005510907660685,0.31243641494980917,0.8006233778351701
IBM,0.8141431672266559,-0.1606790224665205,0.3794211140075795
ICE,0.7994153989507996,-0.17792250259113995,0.019539842904687087
IDXX,0.9996648751616639,0.11202555192412629,-0.5670165095601312
IEX,0.8554244404319564,0.22178480693432587,0.2649891088208563
IFF,0.8622424419302419,0.05747134322628869,0.16838722096862685
INCY,0.6802788430899307,0.18550573996412056,-0.24783113004563673
INTC,1.2727302416955872,-0.04003513217528583,-0.08291774768727665
INTU,1.3029124610092788,-0.13513580504148814,-0.5136989998050209
IP,0.9491740675616887,0.1589309203871508,0.6650582786545863
IPG,1.052781620940995,0.32023360051939187,0.5711581563131065
IQV,1.0932474173172615,0.20696228830034574,-0.06132961670725075
IRM,0.8225938993650577,0.12901161480028972,0.21767145351955416
ISRG,1.161734056777262,-0.09277871906159788,-0.37065015405917934
IT,1.0125928366180825,0.1357138786356164,0.0694427191722258
ITW,0.938013147705754,0.003377956382418553,0.39119014220848075
J,0.9479622857182215,0.13143560143300498,0.37955171356010065
JBHT,0.8817910175215655,0.23598038173740513,0.27525694963098896
JBL,1.2463321734179647,0.3886851807978061,0.2702863995530027
JKHY,0.6968373123808238,-0.1359413669782661,-0.000997448264781117
JNJ,0.5048923630684528,-0.359200802582977,0.13980221154051298
JNPR,0.7950440163916382,-0.04419248888821223,0.09046050099327543
JPM,1.1241849550296448,-0.14236036293951299,0.8871704541223676
K,0.3235509112172599,-0.3412531049168037,0.195050085662608
KDP,0.47987964808848765,-0.07534018769325848,0.08985244573324751
